"id","audit","Q1_c","Q2_c","Q3_c","Q4_c","Q5_c","Q6_c","Q7_c","Q8_c","Q9_c","Q10_c","Q11_c","Q12_c","Q13_c","Q14_c","Q15_c","Q16_c","Q17_c","Q18_c","Q19_c","Q20_c","Q21_c","Q22_c","Q23_c","Q24_c","Q25_c","Q26_c","Q27_c","Q28_c","Q29_c","Q30_c","Q1_time","Q1_Click.Count","Q2_time","Q2_Click.Count","Q3_time","Q3_Click.Count","Q4_time","Q4_Click.Count","Q5_time","Q5_Click.Count","Q6_time","Q6_Click.Count","Q7_time","Q7_Click.Count","Q8.9_time","Q8.9_Click.Count","Q10_time","Q10_Click.Count","Q11_time","Q11_Click.Count","Q12.13_time","Q12.13_Click.Count","Q14_time","Q14_Click.Count","Q15_time","Q15_Click.Count","Q16_time","Q16_Click.Count","Q17_time","Q17_Click.Count","Q18_time","Q18_Click.Count","Q19_time","Q19_Click.Count","Q20_time","Q20_Click.Count","Q21_time","Q21_Click.Count","Q22_time","Q22_Click.Count","Q23_time","Q23_Click.Count","Q24_time","Q24_Click.Count","Q25_time","Q25_Click.Count","Q26_time","Q26_Click.Count","Q27_time","Q27_Click.Count","Q28_time","Q28_Click.Count","Q29_time","Q29_Click.Count","Q30_time","Q30_Click.Count"
1961,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,92.203,1,39.927,2,61.848,1,106.807,2,24.793,1,87.422,2,106.53,1,220.109,3,78.931,1,26.241,1,367.887,5,38.831,1,163.468,3,133.184,4,58.047,1,180.299,1,119.693,3,23.352,1,33.282,1,64.392,2,72.704,2,533.028,13,92.432,3,360.251,13,129.105,3,174.6,1,263.553,7,95.925,3
1884,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,196.107,4,39.311,1,79.446,1,423.874,22,76.209,1,68.085,6,286.482,1,91.143,9,51.393,1,71.063,1,662.206,24,37.394,3,173.625,10,85.282,6,70.012,3,232.865,1,21.701,1,168.738,1,146.706,1,83.141,11,259.189,6,159.532,6,123.659,3,383.391,19,72.032,1,47.435,2,164.683,5,28.815,1
1962,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,44.537,1,15.401,1,27.262,1,310.536,3,21.7,1,141.438,3,199.852,1,114.94,16,124.112,1,61.651,1,672.607,7,18.589,1,124.713,2,89.36,2,75.315,1,189.18,9,14.844,1,41.7,1,61.79,2,334.112,10,144.993,6,154.218,3,162.811,3,591.758,21,279.257,9,16.228,1,254.571,9,295.193,31
1467,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,412.799,3,95.038,2,118.519,1,338.893,4,50.049,1,246.02,6,21.831,1,121.745,4,52.224,3,205.799,4,974.436,7,139.405,4,134.591,2,64.375,1,44.515,3,224.453,1,47.273,3,56.509,5,21.418,1,225.711,9,245.568,2,241.152,1,157.567,3,156.463,5,137.169,4,81.014,2,164.036,7,135.716,4
1872,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,100.991,4,304.567,2,103.26,1,292.659,18,25.82,1,186.028,6,274.623,5,210.765,18,69.646,3,158.274,5,654.734,44,30.205,1,246.293,7,66.717,3,38.881,1,103.15,7,76.565,2,12.286,2,44.299,3,499.604,16,237.356,14,130.789,8,331.74,30,175.417,24,345.691,20,40.132,3,69.816,17,177.325,24
1599,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,53.454,1,92.196,1,123.479,1,211.384,4,66.901,1,177.15,2,34.494,1,325.249,3,147.135,1,99.353,1,401.142,8,53.011,1,309.708,5,25.692,1,54.273,1,193.225,1,108.482,2,44.637,2,227.924,1,320.332,2,225.797,3,344.397,1,193.444,1,411.565,5,347.924,3,157.346,2,274.392,1,124.73,1
1251,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,72.336,1,422.286,1,265.692,3,526.994,24,30.143,1,143.929,7,145.21,5,135.286,7,209.506,4,31.048,1,765.697,13,11.369,1,218.272,4,78.399,2,43.141,3,256.883,5,134.343,0,68.942,1,61.283,1,269.045,7,95.42,1,268.464,13,98.352,4,401.684,11,437.308,10,40.436,1,153.859,8,84.175,1
1270,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,62.755,1,55.016,3,134.028,6,115.163,1,125.773,3,444.989,5,99.705,4,300.097,5,310.864,3,181.823,4,364.669,6,97.564,4,315.089,8,41.199,3,90.791,1,125.494,7,151.531,2,43.529,1,146.713,9,80.919,3,154.757,6,341.771,2,722.017,8,136.37,2,217.514,4,245.251,3,308.916,18,104.605,4
1343,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,88.182,1,215.934,4,97.984,2,171.177,8,262.528,1,193.466,8,88.306,1,293.323,15,211.331,2,228.254,6,462.942,27,11.273,1,241.447,17,233.563,15,47.683,6,269.843,20,118.045,11,19.536,3,136.231,8,205.716,8,874.241,16,336.893,13,241.56,11,165.402,18,87.898,17,57.999,1,124.644,11,80.313,7
1756,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,91.547,1,37.15,1,28.145,1,140.706,3,34.922,1,312.498,4,43.944,1,249.047,10,210.629,7,36.658,1,662.063,21,29.014,2,589.357,17,192.341,4,196.588,3,400.038,30,113.844,4,50.919,3,87.371,3,513.786,33,435.81,6,591.265,37,98.314,5,236.924,18,51.548,3,81.877,3,90.046,10,29.45,1
1586,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,75.509,1,86.529,2,45.441,1,543.02,14,93.712,1,227.736,3,198.344,9,225.855,16,227.557,2,161.192,5,310.124,12,191.755,6,549.941,20,80.929,1,78.698,1,371.509,15,174.258,7,32.384,4,143.258,8,502.809,45,132.821,2,712.992,46,184.119,18,247.15,15,4.941,1,29.101,1,3.928,0,1.019,0
1513,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,206.781,1,58.132,1,80.755,1,723.136,10,21.437,1,104.343,3,116.837,3,480.192,16,178.924,3,111.508,1,1007.948,16,73.498,1,229.569,18,186.681,1,165.502,1,228.716,7,39.085,6,89.943,4,101.123,2,268.14,17,198.498,8,247.492,7,170.37,1,315.145,6,187.75,10,11.766,3,56.75,2,1.464,0
1753,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,117.242,2,74.418,1,171.165,1,395.621,4,28.388,1,227.507,4,210.003,1,356.659,18,33.096,1,154.492,1,475.05,10,89.692,1,215.137,1,86.075,4,215.711,2,438.772,17,127.315,3,70.136,3,172.399,1,239.923,7,413.254,8,82.486,13,93.248,6,708.225,14,220.86,10,54.02,2,105.702,2,88.664,1
1273,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,72.436,2,198.759,2,43.136,1,178.267,1,28.259,1,233.341,3,187.72,1,266.53,11,209.32,2,22.39,3,568.464,21,455.991,2,734.782,19,37.575,6,196.527,5,344.879,11,232.356,4,56.1,5,265.56,4,121.734,10,101.768,3,149.25,8,74.534,7,213.273,11,87.303,4,30.418,1,170.886,4,104.786,3
1878,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,252.763,3,213.76,3,260.156,5,421.491,2,44.118,1,171.95,9,348.556,7,504.434,16,151.052,3,17.876,1,115.498,2,178.127,1,311.516,9,277.192,2,264.935,2,177.857,8,167.854,0,183.151,7,171.631,4,222.881,3,269.868,2,367.153,6,98.593,4,215.567,6,58.688,3,106.715,5,47.882,2,91.704,0
1605,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,122.854,1,426.648,11,137.25,1,461.673,11,146.413,2,441.993,11,146.166,1,175.45,17,285.663,2,124.308,4,591.605,22,148.951,2,254.945,33,207.185,11,118.909,3,331.276,11,87.581,9,16.733,2,63.484,2,149.622,7,39.085,3,177.695,24,376.343,31,369.04,26,50.791,5,109.003,2,88.804,3,96.142,10
1248,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,79.774,1,250.499,3,153.13,3,795.89,5,54.231,1,248.432,3,274.461,3,282.828,13,203.595,7,108.883,6,1094.918,23,121.309,8,242.201,8,238.644,6,253.867,3,359.739,4,163.144,3,102.834,0,38.454,3,127.158,7,168.94,2,147.209,1,51.614,0,86.343,1,62.658,1,8.539,2,32.945,0,2.76,0
1937,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,31.799,1,55.783,1,11.739,1,1541.157,3,71.847,1,222.346,3,27.254,1,293.774,4,116.038,2,291.461,3,631.061,22,337.809,2,626.307,10,202.6,1,39.55,1,141.11,6,29.001,2,28.207,2,374.153,2,308.148,8,76.074,4,115.343,5,95.166,5,105.145,7,4.113,0,2.965,1,1.557,0,2.782,0
1826,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19.152,1,31.012,1,12.302,1,1188.13,9,254.176,1,794.426,3,90.61,1,415.221,4,357.299,2,366.146,1,478.079,6,129.638,1,305.822,3,343.066,0,75.161,1,207.351,0,63.059,1,108.163,1,151.948,1,8.31,0,23.955,0,192.054,3,8.068,0,99.06,6,3.838,0,5.065,0,3.579,0,6.056,0
1567,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,89.64,3,29.994,4,132.775,1,780.83,17,162.251,1,116.809,10,270.584,5,246.999,3,79.46,5,239.504,5,311.202,5,405.6,8,132.439,4,189.874,10,146.967,4,403.409,1,185.289,3,159.39,7,321.814,6,132.881,11,244.246,12,392.834,4,277.816,4,155.107,0,59.85,3,7.277,1,3.872,1,2.397,1
1266,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,69.503,1,31.685,1,64.652,1,570.093,12,149.805,1,136.257,10,545.706,4,1044.596,29,191.102,3,227.148,1,1117.733,37,225.26,1,438.351,7,224.938,8,30.002,1,110.004,3,96.795,1,108.381,3,95.313,3,67.446,6,8.49,1,63.933,4,92.93,2,10.88,3,26.957,1,16.084,4,60.541,3,20.3,1
1955,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,644.929,4,410.487,1,321.733,1,575.956,8,126.274,1,485.027,6,529.159,5,2220.908,7,102.623,2,46.474,1,100.021,5,12.839,1,43.151,2,38.263,1,47.774,2,14.296,1,30.069,1,61.133,2,37.416,2,9.571,1,5.724,3,3.913,1,3.538,1,8.116,1,4.729,1,10.311,1,6.099,1,3.561,1
1170,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,87.287,2,151.373,7,345.701,11,637.484,12,107,4,683.549,24,353.054,6,136.576,11,43.798,2,436.698,9,737.953,12,97.562,1,241.606,9,136.883,6,76.716,4,123.659,1,98.903,4,50.199,0,192.717,4,162.002,11,34.527,0,174.015,14,78.216,3,140.998,0,195.455,4,81.448,12,173.723,4,171.489,14
1526,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,198.751,7,18.347,1,187.041,9,704.611,16,154.921,3,142.098,2,269.794,12,405.441,30,99.685,4,135.829,20,615.515,14,10.491,1,159.455,11,194.09,6,112.714,2,499.809,17,122.297,2,147.294,6,291.254,8,137.21,14,337.186,15,407.442,26,168.129,6,7.499,0,55.653,8,5.333,1,210.293,6,174.517,0
1942,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,30.18,1,163.062,5,316.164,3,726.243,6,133.75,4,296.866,5,517.609,8,491.559,4,321.929,5,422.551,7,767.51,21,26.69,1,322.53,5,339.985,10,155.582,3,115.682,4,32.311,0,144.593,2,56.565,1,166.883,0,75.753,0,73.198,1,87.257,0,191.311,1,61.778,0,148.018,1,47.494,0,4.639,0
1459,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,259.899,1,27.273,1,484.725,1,2739.11,3,174.364,1,92.112,1,382.316,1,744.592,3,167.886,1,181.711,1,202.713,0,16.258,1,185.987,4,20.211,0,75.842,1,174.577,2,73.07,5,5.574,1,76.047,1,6.545,1,14.244,1,84.271,1,18.667,1,11.681,1,49.75,4,28.826,1,26.359,3,46.034,1
